s_ra,s_dec,target_name,band_list,t_exptime
77.1141666666801,-21.025000000000254,1RXS_J050827.3-210130,7,846.72
262.3361600822039,-50.24833480897934,1RXS_J172919.1-501454,7,967.68
211.94950076519436,-39.762022904965654,1swasp_j140747.93-394542.6,7,9215.937
79.97204172952902,6.290335663759702,2MASS_J05195327+0617258,7,967.68
81.07975416666665,-16.020916666669997,2MASS_J05241914-1601153,7,876.96
169.64772789801944,-79.59858521594735,2MASS_J11183572-7935548,7,483.84
240.10884169998457,-41.89871110000274,2MASS_J16002612-4153553,6,907.2
240.28730486729518,-33.337389042738984,2MASS_J16010896-3320141,6,907.2
240.79915020212533,-32.65577669941338,2MASS_J16031181-3239202,6,907.2
242.23130640342873,-39.04284517034625,2MASS_J16085553-3902339,6,907.2
244.17493329997976,-36.84600830000342,2MASS_J16164198-3650456,6,907.2
245.86699999997623,-40.26023890000427,2MASS_J16232807-4015368,6,907.2
287.61758771411894,-23.33039660306178,2MASS_J19102820-2319486,7,846.72
308.4069628054709,-25.94821771408801,2MASS_J20333759-2556521,7,1692.366
23.657896808874316,-15.676374472383909,49_Cet,6,2842.56
23.65808617243877,-15.676384930992,49_Ceti,7,10401.708
23.658004284202757,-15.67638126845418,49cet,7,665.28
23.65792516002457,-15.67637622717388,49ceti,8,20721.886
69.40076501497607,-2.4738503110951036,51_Eri,6,1028.16
199.5965193795544,-18.31571495227733,61_Vir,7,10963.288
94.80394445452606,-58.05410457528229,AB_pic,6,514.08
123.84700690530981,-38.98976215486709,ASASSN-21qj,7,5152.891
250.75525792611776,-17.90791909316339,ASAS_J164301-1754.4,7,876.96
311.2906708333333,-31.342135833333334,AU Mic,6,6495.552
311.29132229400176,-31.342627050988856,AU_Mic,9,6319.212
55.879808959881586,22.158102286455115,BD+21_508,6,254.005
56.29128708756029,21.704314816251458,BD+21_516,6,254.005
60.221398611303414,23.19374766497444,BD+22_617C,6,254.008
51.9252899128184,23.803434387762287,BD+23_455,6,254.008
54.973919619936844,26.71675277291207,BD+26_592,6,254.007
36.86906710176241,30.975928764404756,BD+30_397B,7,1874.878
23.8085383337831,-7.214597763057959,Barta_161_12,7,876.96
86.8204695823006,-51.066617842808185,BetaPic_bottom,7,3779.708
86.82113291532605,-51.06589450944063,BetaPic_ctr,7,3779.708
86.8217958314888,-51.06517062048762,BetaPic_top,7,3779.708
86.82122228139703,-51.06600331679675,Beta_Pic,3,8104.127
75.19673421770042,-57.256705940995765,CD-57_1054,7,2052.844
195.55580170911819,-76.63278094628892,CM_Cha,7,1814.4
340.7053687105806,-71.70615642206936,CP-72_2713,6,3810.189
130.6119154800483,-78.9631361378142,EK_Cha,7,514.08
53.75904163865584,23.709561261851558,EPIC_211046195,7,1270.08
130.82656335505175,-79.08822440258982,ET_Cha,7,54.432
53.228068151305756,-9.458205292922715,Epsilon_Eridani,6,3806.496
344.4143757416034,-29.62290486140328,Fomalhaut,6,4444.576
344.411808833862,-29.61755713817472,Fomalhaut_Apocenter,6,7399.013
344.4174956398363,-29.628660589021724,Fomalhaut_Pericenter,6,7399.012
352.1971208333333,5.247516666666667,G29-38,7,6955.2
4.280458160557414,40.94873412359358,GJ14,6,5607.403
77.96583430660628,-45.04753010348555,GJ_191,6,60464.065
6.959912825227786,-32.552091421933405,GJ_2006A,7,876.96
6.960043190973526,-32.55678336110836,GJ_2006B,7,876.96
111.85496549112011,5.20727767520902,GJ_273,6,85693.019
17.85693537474402,15.438700447585543,GJ_3076,7,1088.64
229.85529163581086,-7.722781494270307,GJ_581,6,35931.836
213.90151991358502,1.288440540983692,GK_Vir,6,2540.147
70.73609077320178,18.952184269356014,GL_176,6,16791.217
90.0162233538992,2.7063468099828962,GL_3379,6,17862.368
218.56807176993803,-12.516357112001291,GL_555,6,12140.918
332.4241566743314,-4.640855653709925,GL_849,6,14653.514
273.59201903806274,-32.76968017220466,GSC_07396-00759,7,876.96
262.3361595013421,-50.24833331667466,GSC_08350-01924,7,967.68
260.23374996663455,-26.058811672845106,Gaia_DR2_4108404224585712768,6,302.4
247.91941592918573,-24.42144471190479,Gaia_DR2_6047590759117265280,6,483.721
244.76764340326227,-26.961713361539402,Gaia_DR2_6048347979034299904,6,483.72
246.53875485586966,-24.570365091996393,Gaia_DR2_6049123615765201536,6,483.702
310.8135181564079,10.726446155239021,Gaia_DR3_1751335969361640192,7,5019.569
161.06911347307414,-45.27044928740216,Gaia_DR3_5366813974272886528,7,2721.6
52.97338362,-25.61411285,HD 21997,7,1512.0
